clean_text,sentiment_cont,sentiment_scaled
population world769 crore india136 crore but rahul gandhi will bring out poverty 25000 crore sala banega bar bar modi sarkar,-0.6652,-0.5321600000000001
means they have already cheated can correct thief and fake overnight impossible again modi would tell the same grandma stories,-0.8689,-0.6951200000000001
"worked its heart out for rich crooks
modi had the list black money holders but refused arrest single person promised ganga arrest criminal politicians within year",-0.7543,-0.60344
"now see the brutality indians and their hate against islam and muslims
why not and sit modis lap sorry for the anger and promote his agenda against because all that people are doing has always been indian narrative",-0.8779,-0.70232
ohh slave unknown how earth rotation happens seems slavery you didnt get good education  look earth rotates cause theres many scientific reasons and where live india modi bringing prosperity country the way make india superpower nation,-0.8023,-0.6418400000000001
100 rejected dejected flop and jobless film personalities urge people not vote for modi ,-0.836,-0.6688000000000001
"their jets are getting destroyed without any solid reasonlooks like pak hitting them with tomatos and that his creating pain for india
nia must investigate this which terrorist pigeon attacking them from behindindia splitting from inside slowlywell done modi ",-0.8989,-0.7191200000000001
congressi aur aapoion bhi alphonso shake nikal raha hai for minutes they thought modi will announce death dawood,-0.6808,-0.54464
india failed educating citizens example below this person doesnt know state and central lists like that malleswaram uncle blaming modi for garbage problem bengaluru ,-0.7717,-0.6173600000000001
modi claims have destroyed leo low earth orbit satellite ,-0.6486,-0.51888
"allowed him due tag prime minister india and not for being narendra modi
stats are such that accused 2002 riots fake encounters criminal background using upas hard work aadhar gst for own benefits did scam rafael and demonetization",-0.926,-0.7408000000000001
accusing modi for having gone pakistan have plate biryani priyanka vadra has proved that she also can stoop down any level the opposition has lost their senses frustrated annoyed and are grinding midi every day basis ridiculous ,-0.8885,-0.7108
modi works remove poverty but congress offered breads poor from national fund per annum,-0.743,-0.5944
also seems blame the secular national congress party for series riots that occurred during their governance defence modi which literally just the same thing blaming the democrats for antifa violence,-0.872,-0.6976
nirav modi statement london court was threatened congress leaders escape and run away from india paid them commission 456 congress leaders now knows why was rushed london when nirav got arrested ,-0.6597,-0.52776
for feeling guilty conscience needed but alas indians have none left with them fully blinded with power and hindu secularism such attitude congress 1937 forced creation pakistan and now akhand bharat moving many parts under modi and bjp,-0.6858,-0.54864
removing cbi alok kumar was betrayal and this betrayal was done bjp and party swami why don’ you question modi,-0.7096,-0.5676800000000001
iaf wanted avenge 2611 but congressupa blocked surgical strike strikes under modi govt congressupa refused allow drdo ahead with antisatellite missile technology mission shakti under modi govt its the political will chaiwala that made all the difference,-0.7964,-0.63712
modi had made advani the president india then you guys would have started hyperventilating about babri masjid seat gandhinagar given his daughter then dynast would been complain you hate modiji’ guts sadhavi effect,-0.7351,-0.58808
"modi walking down hitler’ path’ opposition leaders condemn attack muslim family gurugram
delhi chief minister said the attackers were ‘goons the garb hindus’
",-0.8555,-0.6844000000000001
you are wrong broo bjp pass but congress will fail everywhere muje lagate congress chutiya madarchod congress has not developed country because congress and from gujarat capital gandhinagar gujarat developed state because narendra modi not congress ,-0.7783,-0.6226400000000001
dufferthat time excise and vat and crude prices were lower than todaylet feku modi lower excise vat that high petroleum prices are lowered why feku sarkar looting indians where has money gone into pockets anil ambani choksi nirav modi mallya ,-0.8225,-0.658
lutyens uyghur whats this uyghur again any hindutva goons tried attack ohhhh  lets blame modi and rss,-0.6705,-0.5364
